Player,Season,Team,Pos,GP,G,A,P,PPG,Salary (USD),PPG100
Nathan MacKinnon,20232024,COL,C,11,4,10,14,1.27,12600000,127.2727273
Aaron Ekblad,20232024,FLA,D,24,1,5,6,0.25,7500000,25
Adam Fox,20232024,NYR,D,16,0,8,8,0.50,9500000,50
Adam Henrique,20232024,EDM,C,17,4,3,7,0.41,5825000,41.17647059
Adam Lowry,20232024,WPG,C,5,2,0,2,0.40,3250000,40
Adam Pelech,20232024,NYI,D,5,0,2,2,0.40,5750000,40
Adrian Kempe,20232024,LAK,R,5,4,1,5,1.00,5500000,100
Alec Martinez,20232024,VGK,D,6,0,0,0,0.00,5250000,0
Aleksander Barkov,20232024,FLA,C,24,8,14,22,0.92,10000000,91.66666667
Alex Iafallo,20232024,WPG,L,5,0,1,1,0.20,4000000,20
Alex Laferriere,20232024,LAK,R,5,1,1,2,0.40,875000,40
Alex Ovechkin,20232024,WSH,L,4,0,0,0,0.00,9500000,0
Alex Pietrangelo,20232024,VGK,D,7,0,1,1,0.14,8800000,14.28571429
Alexander Romanov,20232024,NYI,D,5,0,1,1,0.20,2500000,20
Alexander Wennberg,20232024,NYR,C,16,1,1,2,0.13,4500000,12.5
Alexandre Carrier,20232024,NSH,D,6,1,2,3,0.50,3750000,50
Alexis Lafrenière,20232024,NYR,L,16,8,6,14,0.88,925000,87.5
Aliaksei Protas,20232024,WSH,C,4,0,2,2,0.50,750000,50
Anders Lee,20232024,NYI,L,5,1,3,4,0.80,7000000,80
Andreas Englund,20232024,LAK,D,5,0,1,1,0.20,1000000,20
Andrei Svechnikov,20232024,CAR,R,11,2,9,11,1.00,7750000,100
Andrew Cogliano,20232024,COL,C,11,0,5,5,0.45,1250000,45.45454545
Anthony Beauvillier,20232024,NSH,L,6,1,1,2,0.33,4250000,33.33333333
Anthony Cirelli,20232024,TBL,C,5,0,2,2,0.40,6250000,40
Anthony Duclair,20232024,TBL,L,5,0,2,2,0.40,3500000,40
Anton Lundell,20232024,FLA,C,24,3,14,17,0.71,5000000,70.83333333
Anze Kopitar,20232024,LAK,C,5,1,2,3,0.60,7000000,60
Artemi Panarin,20232024,NYR,L,16,5,10,15,0.94,11642857,93.75
Auston Matthews,20232024,TOR,C,5,1,3,4,0.80,13250000,80
Barclay Goodrow,20232024,NYR,C,16,6,2,8,0.50,3641667,50
Beck Malenstyn,20232024,WSH,L,4,0,0,0,0.00,775000,0
Blake Lizotte,20232024,LAK,C,5,1,0,1,0.20,1600000,20
Bo Horvat,20232024,NYI,C,5,1,2,3,0.60,8500000,60
Brad Marchand,20232024,BOS,L,11,3,7,10,0.91,6250000,90.90909091
Braden Schneider,20232024,NYR,D,16,0,2,2,0.13,925000,12.5
Brady Skjei,20232024,CAR,D,11,1,8,9,0.82,5250000,81.81818182
Brandon Carlo,20232024,BOS,D,13,3,1,4,0.31,4100000,30.76923077
Brandon Duhaime,20232024,COL,R,11,1,0,1,0.09,1150000,9.090909091
Brandon Hagel,20232024,TBL,L,5,3,2,5,1.00,1500000,100
Brandon Montour,20232024,FLA,D,24,3,8,11,0.46,3500000,45.83333333
Brayden McNabb,20232024,VGK,D,7,2,3,5,0.71,2850000,71.42857143
Brayden Point,20232024,TBL,C,5,2,3,5,1.00,9000000,100
Brent Burns,20232024,CAR,D,11,1,3,4,0.36,8000000,36.36363636
Brett Howden,20232024,VGK,C,7,1,1,2,0.29,1900000,28.57142857
Brett Kulak,20232024,EDM,D,25,1,7,8,0.32,2750000,32
Brock Boeser,20232024,VAN,R,12,7,5,12,1.00,6650000,100
Brock Nelson,20232024,NYI,C,5,2,2,4,0.80,6000000,80
Cal Clutterbuck,20232024,NYI,R,5,0,0,0,0.00,1750000,0
Cale Makar,20232024,COL,D,11,5,10,15,1.36,9000000,136.3636364
Calle Jarnkrok,20232024,TOR,C,7,0,0,0,0.00,2100000,0
Carl Grundstrom,20232024,LAK,R,5,0,0,0,0.00,1800000,0
Carter Verhaeghe,20232024,FLA,C,24,11,10,21,0.88,4166667,87.5
Casey Cizikas,20232024,NYI,C,5,1,1,2,0.40,2500000,40
Casey Mittelstadt,20232024,COL,C,11,3,6,9,0.82,2575000,81.81818182
Chandler Stephenson,20232024,VGK,C,7,0,1,1,0.14,2750000,14.28571429
Charlie Coyle,20232024,BOS,C,13,1,4,5,0.38,5250000,38.46153846
Charlie McAvoy,20232024,BOS,D,13,1,5,6,0.46,9500000,46.15384615
Chris Kreider,20232024,NYR,L,16,8,4,12,0.75,6500000,75
Chris Tanev,20232024,DAL,D,19,0,2,2,0.11,4500000,10.52631579
Cody Ceci,20232024,EDM,D,24,2,3,5,0.21,3250000,20.83333333
Cole Smith,20232024,NSH,R,5,0,0,0,0.00,775000,0
Colton Sissons,20232024,NSH,C,6,1,0,1,0.17,2857143,16.66666667
Connor Brown,20232024,EDM,R,19,2,4,6,0.32,4000000,31.57894737
Connor Dewar,20232024,TOR,C,6,0,1,1,0.17,800000,16.66666667
Connor McDavid,20232024,EDM,C,25,8,34,42,1.68,12500000,168
Connor McMichael,20232024,WSH,C,4,1,0,1,0.25,2100000,25
