Player,Season,Team,Pos,GP,G,A,P,PPG,Salary (USD),PPG100
Nathan MacKinnon,20232024,COL,C,82,51,89,140,1.71,12600000,170.7317073
Aaron Ekblad,20232024,FLA,D,51,4,14,18,0.35,7500000,35.29411765
Adam Fox,20232024,NYR,D,72,17,56,73,1.01,9500000,101.3888889
Adam Henrique,20232024,EDM,C,82,24,27,51,0.62,5825000,62.19512195
Adam Lowry,20232024,WPG,C,81,12,23,35,0.43,3250000,43.20987654
Adam Pelech,20232024,NYI,D,58,1,15,16,0.28,5750000,27.5862069
Adrian Kempe,20232024,LAK,R,77,28,47,75,0.97,5500000,97.4025974
Alec Martinez,20232024,VGK,D,55,4,13,17,0.31,5250000,30.90909091
Aleksander Barkov,20232024,FLA,C,73,23,57,80,1.10,10000000,109.5890411
Alex Iafallo,20232024,WPG,L,82,11,16,27,0.33,4000000,32.92682927
Alex Laferriere,20232024,LAK,R,81,12,11,23,0.28,875000,28.39506173
Alex Ovechkin,20232024,WSH,L,79,31,34,65,0.82,9500000,82.27848101
Alex Pietrangelo,20232024,VGK,D,64,4,29,33,0.52,8800000,51.5625
Alexander Romanov,20232024,NYI,D,81,7,15,22,0.27,2500000,27.16049383
Alexander Wennberg,20232024,NYR,C,79,10,20,30,0.38,4500000,37.97468354
Alexandre Carrier,20232024,NSH,D,73,4,16,20,0.27,3750000,27.39726027
Alexis Lafrenière,20232024,NYR,L,82,28,29,57,0.70,925000,69.51219512
Aliaksei Protas,20232024,WSH,C,78,6,23,29,0.37,750000,37.17948718
Anders Lee,20232024,NYI,L,81,20,17,37,0.46,7000000,45.67901235
Andreas Englund,20232024,LAK,D,82,1,9,10,0.12,1000000,12.19512195
Andrei Svechnikov,20232024,CAR,R,59,19,33,52,0.88,7750000,88.13559322
Andrew Cogliano,20232024,COL,C,75,6,13,19,0.25,1250000,25.33333333
Anthony Beauvillier,20232024,NSH,L,60,5,12,17,0.28,4250000,28.33333333
Anthony Cirelli,20232024,TBL,C,79,20,25,45,0.57,6250000,56.96202532
Anthony Duclair,20232024,TBL,L,73,24,18,42,0.58,3500000,57.53424658
Anton Lundell,20232024,FLA,C,78,13,22,35,0.45,5000000,44.87179487
Anze Kopitar,20232024,LAK,C,81,26,44,70,0.86,7000000,86.41975309
Artemi Panarin,20232024,NYR,L,82,49,71,120,1.46,11642857,146.3414634
Auston Matthews,20232024,TOR,C,81,69,38,107,1.32,13250000,132.0987654
Barclay Goodrow,20232024,NYR,C,80,4,8,12,0.15,3641667,15
Beck Malenstyn,20232024,WSH,L,81,6,15,21,0.26,775000,25.92592593
Blake Lizotte,20232024,LAK,C,62,7,8,15,0.24,1600000,24.19354839
Bo Horvat,20232024,NYI,C,81,33,35,68,0.84,8500000,83.95061728
Brad Marchand,20232024,BOS,L,82,29,38,67,0.82,6250000,81.70731707
Braden Schneider,20232024,NYR,D,82,5,14,19,0.23,925000,23.17073171
Brady Skjei,20232024,CAR,D,80,13,34,47,0.59,5250000,58.75
Brandon Carlo,20232024,BOS,D,76,4,10,14,0.18,4100000,18.42105263
Brandon Duhaime,20232024,COL,R,80,5,8,13,0.16,1150000,16.25
Brandon Hagel,20232024,TBL,L,82,26,49,75,0.91,1500000,91.46341463
Brandon Montour,20232024,FLA,D,66,8,25,33,0.50,3500000,50
Brayden McNabb,20232024,VGK,D,82,4,22,26,0.32,2850000,31.70731707
Brayden Point,20232024,TBL,C,81,46,44,90,1.11,9000000,111.1111111
Brent Burns,20232024,CAR,D,82,10,33,43,0.52,8000000,52.43902439
Brett Howden,20232024,VGK,C,72,8,11,19,0.26,1900000,26.38888889
Brett Kulak,20232024,EDM,D,82,3,13,16,0.20,2750000,19.51219512
Brock Boeser,20232024,VAN,R,81,40,33,73,0.90,6650000,90.12345679
Brock Nelson,20232024,NYI,C,82,34,35,69,0.84,6000000,84.14634146
Cal Clutterbuck,20232024,NYI,R,82,7,12,19,0.23,1750000,23.17073171
